,title,price,link
0,"W26+
            Smart Watch with HD 1.7"" Full Touch Screen , Bluetooth Calling, etc","â‚¹1,599.00",https://www.vardiano.com/product-page/w26-smart-watch-with-hd-1-7-full-touch-screen-bluetooth-calling-etc
1,Boat Storm Call (Original),"â‚¹1,399.00",https://www.vardiano.com/product-page/boat-storm-call-original
2,T-500 Touchscreen Cut/Receive Calling Smart Watch with Multiple Functions,â‚¹999.00,https://www.vardiano.com/product-page/t-500-touchscreen-cut-receive-calling-smart-watch-with-multiple-functions
3,Watch S8 Ultra Latest Bluetooth Calling Series 8 AMOLED High Resolution,"â‚¹2,999.00",https://www.vardiano.com/product-page/watch-s8-ultra-latest-bluetooth-calling-series-8-amoled-high-resolution
4,FitWatch Fitness Smart Watch,"â‚¹2,999.00",https://www.vardiano.com/product-page/fitwatch-fitness-smart-watch
5,12 Slot Watch Box,â‚¹899.00,https://www.vardiano.com/product-page/12-slot-watch-box
6,"Active 2 (44mm,Bluetooth) Smart Watch with Advanced Health Monitoring","â‚¹2,999.00",https://www.vardiano.com/product-page/active-2-44mm-bluetooth-smart-watch-with-advanced-health-monitoring
7,FitWatch XDH Fitness Smart Watch,"â‚¹2,999.00",https://www.vardiano.com/product-page/fitwatch-xdh-fitness-smart-watch-1
8,Dor Cartoon Model Kids Watch,â‚¹350.00,https://www.vardiano.com/product-page/dor-cartoon-model-kids-watch
9,Hello K Cartoon Model Kids Watch,â‚¹350.00,https://www.vardiano.com/product-page/hello-k-cartoon-model-kids-watch
10,Cartoon Model Girls Watch (Random Model),â‚¹360.00,https://www.vardiano.com/product-page/cartoon-model-girls-watch-random-model
11,New Edition All in One Series 7 Smart Watch with Fitness Tracker,"â‚¹1,999.00",https://www.vardiano.com/product-page/new-edition-all-in-one-series-7-smart-watch-with-fitness-tracker
